TransferSubject,TransferCourse,Transfer Title,TransferHours,TransferLevel,Connector,OU Subject,OU Course,OU Title,OUCredits,Gen. Ed.,Pass
MATH,147,PRECALCULUS,5,Lower Division Course,,MATH,1503,COLLEGE ALGEBRA,2,Gen Ed-Mathematics,
MATH,147,PRECALCULUS,5,Lower Division Course,AND,MATH,1523,PRECALCULUS AND TRIGONOMETRY,3,Gen Ed-Mathematics,
MATH,150,TRIGONOMETRY,2,Lower Division Course,,MATH,1523,PRECALCULUS AND TRIGONOMETRY,2,Gen Ed-Mathematics,
MATH,160A,SURVEY OF CALCULUS,4,,,MATH,1743,"CALCULUS I-BUS, LIFE, SOC SCI",3,Gen Ed-Mathematics,
MATH,160A,SURVEY OF CALCULUS,4,,AND,MATH,1999,LOWER DIVISION TRANSFER CREDIT,1,,
MATH,160B,BRIEF CALCULUS,4,,,MATH,1743,"CALCULUS I-BUS, LIFE, SOC SCI",3,Gen Ed-Mathematics,
MATH,160B,BRIEF CALCULUS,4,,AND,MATH,1999,LOWER DIVISION TRANSFER CREDIT,1,,
MATH,170,CALCULUS I,5,Lower Division Course,,MATH,1823,CALCULUS & ANALYT GEOMETRY I,3,Gen Ed-Mathematics,
MATH,170,CALCULUS I,5,Lower Division Course,AND,MATH,2423,CALCULUS & ANALYT GEOMETRY II,2,Gen Ed-Mathematics,
MATH,175,CALCULUS II,4,Lower Division Course,,MATH,2423,CALCULUS & ANALYT GEOMETRY II,1,Gen Ed-Mathematics,
MATH,175,CALCULUS II,4,Lower Division Course,AND,MATH,2433,CALCULUS & ANALYT GEOMETRY III,3,,
MATH,180,CALCULUS I,6,Lower Division Course,,MATH,1823,CALCULUS & ANALYT GEOMETRY I,3,Gen Ed-Mathematics,
MATH,180,CALCULUS I,6,Lower Division Course,AND,MATH,2423,CALCULUS & ANALYT GEOMETRY II,1,Gen Ed-Mathematics,
MATH,180,CALCULUS I,6,Lower Division Course,AND,MATH,1999,LOWER DIVISION TRANSFER CREDIT,2,,
MATH,190,CALCULUS III,4,Lower Division Course,,MATH,2423,CALCULUS & ANALYT GEOMETRY II,2,Gen Ed-Mathematics,
MATH,190,CALCULUS III,4,Lower Division Course,AND,MATH,2433,CALCULUS & ANALYT GEOMETRY III,2,,
MATH,210,CALCULUS III,4,Lower Division Course,,MATH,2433,CALCULUS & ANALYT GEOMETRY III,1,,
MATH,210,CALCULUS III,4,Lower Division Course,AND,MATH,2443,CALCULUS & ANALYT GEOMETRY IV,3,,
